id,name,location,categories,rating,price
L5CS1lFQDc8I_tTrPZ-d1w,Deli Boutique,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'french', 'title': 'French'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.5,££
QMSWcWkS510OwJPLGMtDgw,Dip & Flip,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,££
8uSDXa6sSVGju7J5QHHj3w,Hana Korean Restaurant,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'korean', 'title': 'Korean'}]",4.0,£££
7n4vzucZc8QQkp_FTijI2w,The River Quarter Kitchen,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",4.0,££
CrJjLw3Xf5ALcVU1eqw-5w,The Good Earth Express,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",3.5,£££
Vaq49W0ubGjuIc4h5_qQ0w,The Mayfair Chippy,"200008 - Portman Square, Marylebone","[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]",4.5,££
bJiVADMSTEKj0MjqiLrOPA,The Grazing Goat Marylebone,"200008 - Portman Square, Marylebone","[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'british', 'title': 'British'}]",4.0,££
L4QlWFPlkJVwDm5_jxt4og,Mercato Mayfair,"200008 - Portman Square, Marylebone","[{'alias': 'popuprestaurants', 'title': 'Pop-Up Restaurants'}]",4.5,
6tXkeZlisxTtdUsjDaTqaw,Chiltern Firehouse,"200008 - Portman Square, Marylebone","[{'alias': 'restaurants', 'title': 'Restaurants'}, {'alias': 'hotels', 'title': 'Hotels'}]",4.0,££££
dCKpRCo6k1rPjZABB4WgBQ,Boxcar Butcher & Grill,"200008 - Portman Square, Marylebone","[{'alias': 'butcher', 'title': 'Butcher'}, {'alias': 'delis', 'title': 'Delis'}]",4.5,££
RFyH1Qiv06LYHrwqzLkVXg,Roti Chai,"200008 - Portman Square, Marylebone","[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'kebab', 'title': 'Kebab'}]",4.0,££
6wJymdt8j-ItB0NA_3mx9g,"The Roof Deck Restaurant and Bar, Selfridges","200008 - Portman Square, Marylebone","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'british', 'title': 'British'}]",4.0,££
YKdPgX4jRyz5tfsF04eUYw,The Churchill Bar & Terrace,"200008 - Portman Square, Marylebone","[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,££££
W_MsdJkinHKRqn5P4PkRUw,Texture,"200008 - Portman Square, Marylebone","[{'alias': 'champagne_bars', 'title': 'Champagne Bars'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,£££
oERtgNeSaDE0XRPmGEP4uQ,Donostia,"200008 - Portman Square, Marylebone","[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",4.5,£££
5iTca54jLb1EOmQHWU-Lhg,Bernardi's Restaurant and Bar,"200008 - Portman Square, Marylebone","[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,£££
6ugop_2_fnetqRX6DbRNmA,The Ivy Cafe - Marylebone,"200008 - Portman Square, Marylebone","[{'alias': 'cafes', 'title': 'Cafes'}]",4.0,££
2qk8fjk5VrrxtuefMKl44g,Pachamama,"200008 - Portman Square, Marylebone","[{'alias': 'peruvian', 'title': 'Peruvian'}]",4.5,£££
pOnkBNgFreS7QzKZXXV3jA,The Portman,"200008 - Portman Square, Marylebone","[{'alias': 'british', 'title': 'British'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,££
Y775ayDb-qviW7Ys_uzxEQ,Patty & Bun,"200008 - Portman Square, Marylebone","[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,££
lJ_hk4cn88vv6_XqAlbYHw,The Beehive,"200008 - Portman Square, Marylebone","[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.0,££
JbZXAQ3EimZ4K6Ny-apVlg,THE DUKE OF YORK,"200008 - Portman Square, Marylebone","[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,££
BZGJNmq90Y9WVnWjDkQEdw,Monkey & Me,"200008 - Portman Square, Marylebone","[{'alias': 'thai', 'title': 'Thai'}]",4.0,££
odnKjwTrgHDlgw0l43eKFA,The Golden Hind,"200008 - Portman Square, Marylebone","[{'alias': 'fishnchips', 'title': 'Fish & Chips'}]",4.0,££
KcTG8dVnattBQaWXdIzMrg,Feya,"200008 - Portman Square, Marylebone","[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,
3R0Klq1B1ESNTwqPfcsY-w,The Pig and Butcher,"300031 - Islington Green, Angel","[{'alias': 'british', 'title': 'British'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,££
WT5EjZGp4gn9BNnzTlC2Ww,Ottolenghi,"300031 - Islington Green, Angel","[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'modern_european', 'title': 'Modern European'}]",4.0,££
gfTiXGI9pU3LVgf6piH2bQ,Oldroyd,"300031 - Islington Green, Angel","[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'british', 'title': 'British'}]",4.5,££
C3FARPn2vHdhUsgn0k1mWQ,Brother Marcus,"300031 - Islington Green, Angel","[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'british', 'title': 'British'}]",5.0,
_UHQQ8znKxBWkBGFG7nlTQ,"Megan’s at the Sorting Office, Islington","300031 - Islington Green, Angel","[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,
GyK15muNSx4rJ155l4-2Ag,Earl of Essex,"300031 - Islington Green, Angel","[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,££
HyMWx0hCF0FLxAy3RwbL7w,Le Sacre Coeur,"300031 - Islington Green, Angel","[{'alias': 'french', 'title': 'French'}]",4.5,££
f1S9DYmRFzU7VrYq4TKFGQ,Meat People,"300031 - Islington Green, Angel","[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,££
44FVI_m-nnobjTcYV0-ULQ,kanada-ya Ramen Bar,"300031 - Islington Green, Angel","[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,
E3IovSUrbxrbICaVybZQIQ,Tanakatsu,"300031 - Islington Green, Angel","[{'alias': 'japanese', 'title': 'Japanese'}]",4.5,
fADN0KuYkKuXsXm1XQQx6w,La Vita E Bella,"300031 - Islington Green, Angel","[{'alias': 'italian', 'title': 'Italian'}]",4.5,££
nsiUDhW2nBLaW_JCM4gmxg,Afghan Kitchen,"300031 - Islington Green, Angel","[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,££
zWrlXb7JkHWq6t2_W1pYxw,La Farola,"300031 - Islington Green, Angel","[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.0,£££
YJAO1McsBSeXJb_r5oU4Dg,Kilis Kitchen,"300031 - Islington Green, Angel","[{'alias': 'turkish', 'title': 'Turkish'}]",4.5,££
WYHgZEH5oeYoCAs__BCNzg,Rodizio Rico,"300031 - Islington Green, Angel","[{'alias': 'brazilian', 'title': 'Brazilian'}]",4.0,££
gAvhYy-7tpNGwpxo7qWtzw,Côte Brasserie - Islington,"300031 - Islington Green, Angel","[{'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",4.0,££
K7VTGghPis9MLzcWPVWISA,Chilango,"300031 - Islington Green, Angel","[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,£
lfplA6C0xrJjgKpy5GZi2w,The Little Viet Kitchen,"300031 - Islington Green, Angel","[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,££
krmO_A4N0d1Ej6ZCsSwjXg,Chick ‘n’ Sours,"300031 - Islington Green, Angel","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,
RumgtRTi78u1q79CjDU6gw,Isarn,"300031 - Islington Green, Angel","[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,££
teXPunKtpwj0NuttvPYhyQ,The Victoria,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.5,££
lrkhrEmcffCWIBLsqU0nRw,Bizzarro,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'italian', 'title': 'Italian'}]",4.0,££
VomGBPMQALZLfKHCI8_jTg,The Swan,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,££
0r2-fwgLvuOLef0epiFkFQ,Granger & Co,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'british', 'title': 'British'}, {'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,££
E32UWQyHYlSrBbRbtxPzKQ,The Shed,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'british', 'title': 'British'}]",4.5,££
UjN6Tge5rcRLj-P_Fq4YCw,Hobson's Fish & Chips,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'british', 'title': 'British'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]",4.0,££
k41zE5iiFxKva8yjGbleEg,Darcie and May Green,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'australian', 'title': 'Australian'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,
ZTSM33QFv3pwxtSJp8Y02g,Farmacy,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,££
HAi7bThXmEtooc5ZQq9hdw,Laurents,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'delicatessen', 'title': 'Delicatessen'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,£
za-KLljMB6yelgi2idCQPg,Beany Green,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,££
2NdnxONuSAsDkQPhU919tQ,Royal China,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'dimsum', 'title': 'Dim Sum'}]",4.0,££
cxRk4T-Z3q_mekEWj6l2Dw,Mamma Mia ,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,££
F2h5AF_4mkVr09aI4OpyPQ,Masala Zone - Bayswater,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'pakistani', 'title': 'Pakistani'}]",4.0,££
n1VWdAwJCISUNj1mCz6CpQ,Cocotte,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'chickenshop', 'title': 'Chicken Shop'}]",4.5,££
95IAv_dKWWvY5XVjnQfA5w,Waterside Cafe,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'british', 'title': 'British'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,£
LyaRYjcdJ4z5N3yDjOIEzQ,The Summerhouse,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'british', 'title': 'British'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'fishnchips', 'title': 'Fish & Chips'}]",4.0,£££
RxxgDv9oVH1EojRazTjzQQ,Bengal Restaurant,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",4.5,££
vOpRo1510_CeE_GFHsJGcg,Chojo,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'taiwanese', 'title': 'Taiwanese'}]",5.0,
VRGItrDyJTZKNBN4HeK1AQ,Tukdin,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'malaysian', 'title': 'Malaysian'}]",4.0,££
JJpZLwZ5Tw8xJT0QLr3ZKA,Raffles,"200108 - Bishop's Bridge Road East, Bayswater","[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,£
oK_SLmmAVQg3meguh7LrIA,Dishoom,"001153 - Pall Mall East, West End","[{'alias': 'indpak', 'title': 'Indian'}]",4.5,££
usivBNSMnBY5awP1IHU39A,The Alchemist,"001153 - Pall Mall East, West End","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,
a4FkZ2b7Wn3-AP7q3ptHtQ,Duck & Waffle Local,"001153 - Pall Mall East, West End","[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'waffles', 'title': 'Waffles'}]",4.5,££
YdnTx95kgD9WLygV3FTxSA,The Port House,"001153 - Pall Mall East, West End","[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,££
qhbCUUn1CM27dvTPUwvAUA,Flat Iron,"001153 - Pall Mall East, West End","[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,££
0B-ag3J18TatG9H9EQohGg,Hawksmoor Seven Dials,"001153 - Pall Mall East, West End","[{'alias': 'british', 'title': 'British'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,£££
vzJaHABdXQ154saZvQHzPg,Flat Iron,"001153 - Pall Mall East, West End","[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,££
kHlrLHZqIuoQmRpoNYbshg,Kerridges Bar and Grill,"001153 - Pall Mall East, West End","[{'alias': 'british', 'title': 'British'}]",4.5,
lVn3qBXylytx6BxrTzCpLQ,The Chandos,"001153 - Pall Mall East, West End","[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'british', 'title': 'British'}]",4.0,£
75-HeBBB391Np6T7GdJ5xQ,The Ivy,"001153 - Pall Mall East, West End","[{'alias': 'british', 'title': 'British'}, {'alias': 'modern_european', 'title': 'Modern European'}]",4.0,£££
SuOm8qiv8MPAqj71PBI9bg,Shoryu Ramen,"001153 - Pall Mall East, West End","[{'alias': 'japanese', 'title': 'Japanese'}]",4.0,££
pdFiFtol9YI__9ROOXUIYA,Lanzhou Noodle Bar,"001153 - Pall Mall East, West End","[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,£
e5jPAqpCcIAsTtasUN5h2g,The Wolseley,"001153 - Pall Mall East, West End","[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'british', 'title': 'British'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",4.0,£££
