location,poi_type,Type,latitude,longitude,free_bikes
"200060 - Drayton Gardens, West Chelsea",['Steakhouse'],Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea",['Fast Food Restaurant'],Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea","['French Restaurant', 'Mediterranean Restaurant']",Restaurant,51.487196,-0.179369,4
"001099 - Frampton Street, Paddington",['Falafel Restaurant'],Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington","['Kurdish Restaurant', 'Middle Eastern Restaurant']",Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington",['Korean Restaurant'],Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington",['Tapas Restaurant'],Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington","['Bar', 'African Restaurant', 'Moroccan Restaurant']",Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington",['Middle Eastern Restaurant'],Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington","['Café', 'Italian Restaurant', 'Mediterranean Restaurant']",Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington","['Bar', 'Lebanese Restaurant', 'Mediterranean Restaurant']",Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington",['Fast Food Restaurant'],Restaurant,51.5233534,-0.175116099,3
"001099 - Frampton Street, Paddington","['Fast Food Restaurant', 'Kebab Restaurant']",Restaurant,51.5233534,-0.175116099,3
"002703 - Fire Brigade Pier, Vauxhall",['Café'],Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall",['Café'],Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall",['Lebanese Restaurant'],Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall",['Breakfast Spot'],Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall","['Arts and Entertainment', 'Bar', 'Café']",Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall",['Pizzeria'],Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall","['Café', 'Sandwich Restaurant']",Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall","['Café', 'Coffee Shop', 'Italian Restaurant']",Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall",['Pizzeria'],Restaurant,51.49369988,-0.121394101,3
"002703 - Fire Brigade Pier, Vauxhall","['American Restaurant', 'Asian Restaurant', 'Sushi Restaurant']",Restaurant,51.49369988,-0.121394101,3
"300067 - Grenfell Road, Avondale","['Argentinian Restaurant', 'Latin American Restaurant']",Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale",['Turkish Restaurant'],Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale","['Café', 'Restaurant']",Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale","['Cafes, Coffee, and Tea Houses']",Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale","['Burger Joint', 'American Restaurant', 'Fast Food Restaurant']",Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale",['Restaurant'],Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale",['Italian Restaurant'],Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale",['Italian Restaurant'],Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale",['Burger Joint'],Restaurant,51.5129006,-0.214762686,17
"300067 - Grenfell Road, Avondale","['Bakery', 'Cafes, Coffee, and Tea Houses']",Restaurant,51.5129006,-0.214762686,17
"300027 - Mile End Park Leisure Centre, Mile End","['Afghan Restaurant', 'Middle Eastern Restaurant', 'Persian Restaurant']",Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End","['Asian Restaurant', 'Chinese Restaurant']",Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End",['Breakfast Spot'],Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End","['Café', 'Lebanese Restaurant']",Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End",['Dining and Drinking'],Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End",['Fast Food Restaurant'],Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End","['Burger Joint', 'American Restaurant', 'Steakhouse']",Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End",['Turkish Restaurant'],Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End",['Burger Joint'],Restaurant,51.52059714,-0.032566533,5
"300027 - Mile End Park Leisure Centre, Mile End","['Pizzeria', 'Fast Food Restaurant']",Restaurant,51.52059714,-0.032566533,5
"001115 - Ilchester Place, Kensington","['English Restaurant', 'French Restaurant', 'Italian Restaurant']",Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington","['Café', 'Coffee Shop', 'Deli']",Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington",['Italian Restaurant'],Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington","['Bakery', 'Restaurant']",Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington",['Middle Eastern Restaurant'],Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington","['Pizzeria', 'Italian Restaurant']",Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington","['Café', 'Coffee Shop', 'Diner']",Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington",['Persian Restaurant'],Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington","['Cafes, Coffee, and Tea Houses', 'Filipino Restaurant']",Restaurant,51.50074359,-0.202759212,20
"001115 - Ilchester Place, Kensington",['Café'],Restaurant,51.50074359,-0.202759212,20
"001152 - Marylebone Lane, Marylebone",['Bakery'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone",['Japanese Restaurant'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone",['Restaurant'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone","['Arts and Entertainment', 'Cocktail Bar', 'Burger Joint']",Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone",['Steakhouse'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone",['Turkish Restaurant'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone",['Pizzeria'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone","['Cafes, Coffee, and Tea Houses']",Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone",['Thai Restaurant'],Restaurant,51.51475963,-0.148105415,9
"001152 - Marylebone Lane, Marylebone","['Burger Joint', 'American Restaurant', 'English Restaurant']",Restaurant,51.51475963,-0.148105415,9
"002698 - Aberdeen Place, St. John's Wood",['Korean Restaurant'],Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood","['Café', 'Italian Restaurant', 'Mediterranean Restaurant']",Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood","['Bar', 'Lebanese Restaurant', 'Mediterranean Restaurant']",Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood",['Falafel Restaurant'],Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood",['Sushi Restaurant'],Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood","['Kurdish Restaurant', 'Middle Eastern Restaurant']",Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood",['Indian Restaurant'],Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood","['Café', 'Deli', 'Mediterranean Restaurant']",Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood",['Tapas Restaurant'],Restaurant,51.524826,-0.176268,1
"002698 - Aberdeen Place, St. John's Wood",['Fast Food Restaurant'],Restaurant,51.524826,-0.176268,1
"000970 - Scala Street, Fitzrovia","['Fast Food Restaurant', 'Soup Restaurant']",Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia",['Modern European Restaurant'],Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia","['French Restaurant', 'Modern European Restaurant']",Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia","['Kebab Restaurant', 'Turkish Restaurant']",Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia","['Bakery', 'Restaurant']",Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia","['Café', 'Coffee Shop', 'Restaurant']",Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia","['Greek Restaurant', 'Japanese Restaurant']",Restaurant,51.51991453,-0.136039674,1
"000970 - Scala Street, Fitzrovia",['Restaurant'],Restaurant,51.51991453,-0.136039674,1
