name,latitude,longitude,free_bikes
"200051 - Percival Street, Finsbury",51.526153,-0.102208,2
"200149 - Watney Street, Shadwell",51.511542,-0.056667,11
"200064 - Regent's Row , Haggerston",51.535678,-0.062546,23
"200203 - King Edward Street, St Pauls",51.51601,-0.0985,5
"200048 - Page Street, Westminster",51.493978,-0.127554,21
"200037 - Rectory Square, Stepney",51.518369,-0.043371,6
"200141 - Westfield Ariel Way, White City",51.509158,-0.224103,11
"200248 - Pitfield Street Central, Hoxton",51.53213,-0.08299,15
"200061 - Westfield Southern Terrace ,Shepherd's Bush",51.506256,-0.218337,28
"200026 - Greenland Road, Camden Town",51.539099,-0.141728,35
"200246 - Eagle Wharf Road, Hoxton",51.53356,-0.09315,21
"200247 - Globe Town Market, Bethnal Green",51.528869,-0.047548,0
"200244 - Hollybush Gardens, Bethnal Green",51.527607,-0.057133,30
"200060 - Drayton Gardens, West Chelsea",51.487196,-0.179369,4
"200236 - Greenberry Street, St.John's Wood",51.53256,-0.16862,4
"200058 - Northdown Street, King's Cross",51.531066,-0.11934,18
"200226 - Kingsway Southbound, Strand",51.513875,-0.117774,21
"200142 - Hammersmith Road, Hammersmith",51.493267,-0.21985,15
"200237 - Parson's Green , Parson's Green",51.472817,-0.199783,19
"200229 - Fulham Park Road, Fulham",51.473471,-0.20782,21
"200235 - Manbre Road, Hammersmith",51.485743,-0.223616,9
"200136 - BBC White City, White City",51.514767,-0.225787,14
"200211 - Union Grove, Wandsworth Road",51.472993,-0.133972,25
"200137 - Caldwell Street, Stockwell",51.477839,-0.116493,25
"200198 - Seymour Place, Marylebone",51.520331,-0.163667,27
"200218 - Addison Road, Holland Park",51.504199,-0.210941,19
"200224 - Colet Gardens, Hammersmith",51.491093,-0.216493,24
"200208 - Sugden Road, Clapham",51.46512358,-0.157788279,2
"200222 - Danvers Street, West Chelsea",51.48256792,-0.172078187,9
"200067 - Princedale Road , Holland Park",51.50646524,-0.208486599,18
"200175 - Wandsworth Rd, Isley Court, Wandsworth Road",51.46925984,-0.141812513,11
"200214 - Woodstock Grove, Shepherd's Bush",51.50403821,-0.217400093,19
"200098 - Aintree Street, Fulham",51.48102131,-0.209973497,4
"200028 - Elysium Place, Fulham",51.47107905,-0.207842908,0
"300003 - Eel Brook Common, Walham Green",51.47625965,-0.193254007,3
"300012 - Irene Road, Parsons Green",51.4737636,-0.197010096,15
"300010 - Surrey Lane, Battersea",51.47518024,-0.167160736,3
"200091 - Wandsworth Town Station, Wandsworth",51.46086446,-0.187427294,19
"200172 - Lansdowne Road, Ladbroke Grove",51.50748124,-0.205535908,20
"200186 - Nantes Close, Wandsworth",51.46193072,-0.180791784,4
"200173 - Courland Grove, Wandsworth Road",51.4729184,-0.132102704,21
"200190 - Queen's Circus, Battersea Park",51.47761941,-0.149551631,16
"300008 - Normand Park, West Kensington",51.48438657,-0.20481514,19
"200187 - Morie Street, Wandsworth",51.45995384,-0.190184054,9
"200194 - Clarence Walk, Stockwell",51.47073264,-0.126994068,1
"200183 - Battersea Park Road, Nine Elms",51.4795017,-0.141770709,21
"200176 - Sheepcote Lane, Battersea",51.47053858,-0.163041605,19
"200116 - Vereker Road, West Kensington",51.48959104,-0.209378594,3
"300002 - Brook Green South, Brook Green",51.49434708,-0.215804559,11
"200215 - Greyhound Road, Hammersmith",51.48606206,-0.214428378,2
"200180 - South Park, Sands End",51.46706414,-0.193502076,2
"200191 - Spencer Park, Wandsworth Common",51.45787019,-0.174691623,3
"200179 - Silverthorne Road, Battersea",51.47286577,-0.148059277,15
"300025 - Archbishop's Park, Waterloo",51.49824168,-0.117495865,15
"200192 - Fawcett Close, Battersea",51.46916161,-0.174485792,9
"200182 - Rainville Road, Hammersmith",51.48373225,-0.223852256,10
"200178 - Buckingham Gate, Westminster",51.49886563,-0.137424571,11
"200181 - Richmond Way, Shepherd's Bush",51.50035306,-0.217515071,17
"200171 - Peterborough Road, Sands End",51.46904022,-0.19627483,17
"300009 - World's End Place, West Chelsea",51.48180515,-0.18027465,18
"300030 - Thorndike Close, West Chelsea",51.48089844,-0.183853573,15
"300022 - Evesham Street, Avondale",51.51148696,-0.218190203,27
"200196 - Simpson Street, Clapham Junction",51.47084722,-0.17070367,17
