name,location,categories,rating,Type,latitude,longitude,free_bikes,price_num
Yauatcha,"001163 - Wardour Street, Soho","[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,Restaurant,51.51251523,-0.133201961,16,3.0
Hoppers,"001163 - Wardour Street, Soho","[{'alias': 'srilankan', 'title': 'Sri Lankan'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,Restaurant,51.51251523,-0.133201961,16,2.0
Balans Soho Society,"001163 - Wardour Street, Soho","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'british', 'title': 'British'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",3.5,Restaurant,51.51251523,-0.133201961,16,2.0
Bill's,"001163 - Wardour Street, Soho","[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'british', 'title': 'British'}]",4.0,Restaurant,51.51251523,-0.133201961,16,2.0
Sophies Steakhouse Soho,"001163 - Wardour Street, Soho","[{'alias': 'steak', 'title': 'Steakhouses'}]",4.5,Restaurant,51.51251523,-0.133201961,16,
The Palomar Restaurant,"001163 - Wardour Street, Soho","[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.5,Restaurant,51.51251523,-0.133201961,16,3.0
Cafe España,"001163 - Wardour Street, Soho","[{'alias': 'spanish', 'title': 'Spanish'}]",3.5,Restaurant,51.51251523,-0.133201961,16,2.0
Barshu,"001163 - Wardour Street, Soho","[{'alias': 'szechuan', 'title': 'Szechuan'}]",4.0,Restaurant,51.51251523,-0.133201961,16,3.0
Wahaca,"001163 - Wardour Street, Soho","[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,Restaurant,51.51251523,-0.133201961,16,2.0
Yalla Yalla,"001163 - Wardour Street, Soho","[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",4.0,Restaurant,51.51251523,-0.133201961,16,2.0
Prawn Crackers,"200254 - Teviot Street, Poplar","[{'alias': 'hotdogs', 'title': 'Fast Food'}]",0.0,Restaurant,51.518811,-0.011662,7,
Ngon Ngon,"001008 - Hatton Wall, Holborn","[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.5,Restaurant,51.5216612,-0.109006325,6,2.0
KIN,"001008 - Hatton Wall, Holborn","[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'thai', 'title': 'Thai'}]",4.0,Restaurant,51.5216612,-0.109006325,6,2.0
Traditional Plaice,"001008 - Hatton Wall, Holborn","[{'alias': 'fishnchips', 'title': 'Fish & Chips'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,Restaurant,51.5216612,-0.109006325,6,1.0
Tohbang,"001008 - Hatton Wall, Holborn","[{'alias': 'korean', 'title': 'Korean'}]",4.0,Restaurant,51.5216612,-0.109006325,6,2.0
